modzcta,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,cum_ave_death_rate
10001,NA,47.1,21.7,NA,NA,0,NA,0,NA,NA,22.933333333333334
10002,30.5,177.9,41.2,9.3,NA,NA,0,0,NA,14.6,51.78
10003,9.3,53.7,11.1,0,0,NA,NA,0,NA,NA,14.82
10004,0,NA,0,NA,NA,NA,NA,NA,0,0,0
10005,0,NA,0,0,0,NA,NA,0,0,NA,0
10006,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0
10007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
10009,17.5,91,31.5,NA,0,NA,NA,0,0,12.2,35
10010,NA,54,NA,0,0,0,0,0,NA,NA,10.8
10011,18.1,56.3,24.1,NA,NA,NA,0,0,NA,0,24.625
10012,NA,56.2,NA,NA,0,0,0,0,0,NA,14.05
10013,NA,48.6,NA,NA,0,0,NA,NA,NA,NA,16.2
10014,16.5,62.6,NA,NA,NA,0,0,0,0,NA,19.775
10016,19.6,68.7,NA,NA,0,NA,0,NA,NA,NA,22.075000000000003
10017,NA,64,NA,0,NA,NA,0,NA,0,NA,21.333333333333332
10018,NA,42.4,0,0,NA,NA,0,NA,0,0,10.6
10019,NA,96.5,NA,NA,NA,0,NA,NA,0,NA,48.25
10021,24,104.6,26.2,NA,0,NA,0,NA,NA,NA,30.959999999999997
10022,NA,71.2,29.1,NA,0,0,NA,0,NA,NA,25.075000000000003
10023,19.4,76.1,9.7,0,NA,0,0,NA,0,NA,17.53333333333333
10024,20.5,101,27.4,NA,NA,0,0,0,NA,NA,29.78
10025,24,173.5,43.7,7.6,NA,NA,NA,NA,5.5,13.1,62.2
10026,12.9,113.8,33.6,NA,NA,NA,NA,NA,NA,NA,53.43333333333333
10027,26.8,149.9,22.1,NA,NA,NA,NA,NA,NA,NA,66.26666666666667
10028,NA,50.7,14.8,NA,NA,NA,NA,0,0,NA,32.75
10029,32,226.3,53.7,7.7,NA,NA,NA,NA,6.4,14.1,79.925
10030,47.8,140.1,23.9,NA,NA,NA,NA,0,NA,NA,70.6
10031,22,176.2,30.5,10.2,NA,0,NA,NA,NA,20.3,47.78
10032,41.2,228.4,36.5,7.9,NA,0,NA,0,NA,17.4,62.800000000000004
10033,25.6,158.9,41,NA,NA,NA,0,NA,NA,10.3,56.375
10034,18.9,149.1,21.3,NA,NA,NA,0,0,0,NA,47.324999999999996
10035,56.8,309.3,51.1,34.1,NA,NA,NA,0,NA,14.2,112.825
10036,22,121.1,33,NA,NA,0,0,0,0,NA,35.22
10037,38.5,269.3,24,33.7,NA,NA,NA,NA,NA,24,91.375
10038,NA,83.1,43.7,0,NA,0,0,0,NA,NA,25.36
10039,NA,191.3,47.8,22.1,NA,NA,0,0,0,25.8,65.3
10040,40.9,293.4,54.6,15.9,NA,NA,0,NA,NA,13.6,80.96
10044,77.1,214.2,68.5,NA,NA,0,NA,0,0,0,89.94999999999999
10065,NA,103.9,NA,NA,NA,NA,NA,0,0,NA,103.9
10069,NA,NA,NA,0,0,NA,0,NA,0,0,0
10075,52.1,108.5,52.1,NA,NA,NA,0,NA,0,NA,53.175
10128,NA,63.2,20.5,NA,0,NA,NA,NA,0,NA,27.900000000000002
10280,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
10282,0,161.5,NA,NA,0,NA,NA,NA,NA,0,53.833333333333336
10301,25.7,254.5,51.4,NA,0,NA,0,NA,NA,30.8,66.32
10302,27,146.1,27,0,0,0,0,0,NA,37.9,28.585714285714285
10303,NA,120.7,45.3,NA,NA,0,0,NA,NA,18.9,41.5
10304,54.9,310.4,71.6,16.7,NA,NA,0,0,NA,47.7,90.72
10305,NA,142.3,42,11.7,NA,0,0,0,NA,18.7,39.2
10306,30.3,128.8,18.9,9.5,NA,NA,0,NA,37.9,87.1,37.5
10307,NA,73.8,NA,NA,0,NA,0,0,0,NA,24.599999999999998
10308,NA,80.5,NA,NA,0,0,0,NA,NA,33.5,20.125
10309,24.3,82,15.2,NA,0,NA,0,NA,NA,27.3,24.3
10310,34.1,115.2,34.1,NA,0,NA,NA,NA,NA,NA,45.85
10312,27.8,73.7,18,NA,0,0,0,NA,8.2,9.8,19.916666666666668
10314,24.9,163.2,54,15.1,NA,0,NA,NA,6.5,44.3,51.44
10451,38,280.8,40.1,10.6,NA,NA,0,NA,NA,NA,73.9
10452,23.9,227.4,29.3,12,NA,6.6,0,0,NA,9.3,49.86666666666667
10453,38.1,188.1,38.1,6.4,NA,0,NA,NA,NA,10.2,54.14
10454,29.1,264.3,34.4,13.2,NA,0,NA,0,NA,15.9,68.2
10455,16.7,241.1,43,11.9,NA,NA,0,0,NA,NA,62.54
10456,36.5,283.3,47.2,11.8,NA,NA,NA,NA,NA,7.5,94.7
10457,36.6,200.8,38,12.2,NA,NA,0,0,8.1,NA,57.52
10458,13.3,126.9,37.5,NA,NA,0,NA,NA,NA,12.1,44.425000000000004
10459,35.5,313.3,33.4,14.6,0,NA,NA,0,NA,NA,79.36
10460,25.5,202.1,25.5,8.5,NA,0,NA,0,NA,11.9,52.32
10461,34.6,205.7,61.1,12.2,NA,NA,NA,0,0,16.3,78.39999999999999
10462,37.2,185.9,45.1,8,NA,0,NA,NA,NA,13.3,55.24
10463,42.9,295.8,64.3,18.6,7.1,NA,NA,NA,NA,24.3,85.74
10464,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
10465,20.9,208.7,20.9,13.9,NA,NA,NA,NA,NA,NA,66.1
10466,49.1,180.9,32.3,NA,NA,NA,NA,NA,NA,NA,87.43333333333334
10467,53.9,265.5,53.9,6.9,9.8,4.9,NA,0,NA,8.8,65.81666666666666
10468,30.8,199.2,65.5,16.7,NA,NA,NA,0,NA,12.9,78.05
10469,79.9,399.4,64.7,12.4,9.6,NA,NA,NA,NA,16.5,113.2
10470,NA,120.1,NA,NA,NA,NA,0,NA,0,NA,60.05
10471,37.7,324.8,75.3,28.2,NA,NA,NA,0,NA,NA,116.5
10472,41.2,214.8,53,10.3,0,NA,NA,NA,NA,13.2,63.86
10473,37.2,192.9,35.5,13.5,NA,NA,NA,NA,NA,16.9,69.775
10474,NA,133.6,50.1,NA,0,0,NA,0,0,0,45.925
10475,84.2,318.2,65.5,11.7,NA,0,NA,NA,NA,11.7,95.92
11004,26.4,337.7,73.9,NA,NA,0,NA,0,0,26.4,109.5
11101,24.4,119.4,13.6,0,NA,NA,0,0,NA,NA,31.48
11102,49.9,223,56.6,NA,NA,NA,0,NA,0,26.6,82.375
11103,20,148.8,31.5,NA,NA,NA,NA,NA,NA,NA,66.76666666666667
11104,43.2,133.7,39.3,NA,0,0,0,0,NA,NA,36.03333333333333
11105,13.8,99.5,44.2,NA,NA,NA,NA,0,NA,NA,52.5
11106,16,152.3,32.1,NA,NA,NA,0,NA,NA,NA,50.1
11109,0,NA,NA,0,0,0,NA,NA,NA,0,0
11201,19.3,142.9,40.1,9.6,NA,NA,0,NA,NA,NA,42.38
11203,68.2,275.5,46.4,8.2,NA,0,0,NA,NA,13.6,66.38333333333334
11204,29.8,145.3,28.5,10.4,NA,NA,0,7.8,NA,15.6,42.800000000000004
11205,NA,110.3,13.2,NA,NA,0,0,0,0,11,30.875
11206,24.2,159.2,26.5,NA,NA,NA,NA,NA,NA,6.9,69.96666666666667
11207,35.9,233.6,35.9,7.9,NA,NA,NA,0,5.6,11.2,78.325
11208,28.3,234.4,41.9,10.5,NA,NA,NA,NA,6.3,19.9,78.775
11209,20.7,130.3,37,NA,NA,NA,0,NA,0,13.3,47
11210,38.1,214.7,33.5,10.7,NA,0,0,NA,NA,7.6,49.5
11211,25.6,116.1,12.8,4.9,NA,0,NA,NA,4.9,5.9,31.88
11212,64.9,293.4,41.9,13.5,NA,NA,0,NA,NA,18.9,82.74
11213,32.5,244.6,38.7,9.3,NA,NA,NA,NA,NA,9.3,81.275
11214,10.8,191.8,46.3,6.5,NA,NA,NA,NA,14,23.7,63.85
11215,8.6,61.8,11.5,NA,0,NA,NA,NA,NA,7.2,20.474999999999998
11216,21.9,127.7,42,9.1,NA,NA,0,0,NA,12.8,40.14
11217,26.9,195.7,39.1,NA,NA,0,NA,NA,NA,NA,65.425
11218,29.7,179.7,36.5,NA,NA,0,NA,NA,NA,9.5,61.474999999999994
11219,25.5,186.5,26.6,6.7,NA,NA,5.6,NA,8.9,NA,50.18
11220,16.9,153.3,23.3,8.5,NA,NA,NA,NA,NA,14.8,50.5
11221,14.7,173.1,40.5,7.4,NA,NA,0,NA,NA,11.1,47.14
11222,NA,80.3,22.1,NA,0,NA,0,NA,0,NA,25.6
11223,20.9,139.9,47.9,NA,NA,0,0,0,8.6,16,41.74
11224,23.8,479.8,99.4,17.3,NA,NA,NA,NA,NA,30.3,155.07500000000002
11225,48.7,210.4,38.3,8.7,NA,0,NA,NA,NA,NA,61.22
11226,58.5,279.4,41.1,10.3,NA,NA,NA,NA,NA,14.4,97.32499999999999
11228,24.5,184.5,26.7,13.3,NA,0,NA,NA,NA,NA,49.8
11229,29.9,155.6,35.9,14.4,NA,NA,NA,6,NA,14.4,58.949999999999996
11230,34.9,265.5,38.2,NA,7.9,NA,NA,7.9,10.1,16.9,86.625
11231,18.7,93.6,13.4,NA,NA,0,0,0,NA,NA,25.14
11232,NA,110.8,44.3,NA,0,0,0,NA,0,NA,31.02
11233,39,187,33.6,10.8,NA,NA,NA,NA,8.1,17.5,67.6
11234,37.2,172.2,29.8,6.4,NA,0,NA,NA,NA,10.6,49.12
11235,34.5,319.7,76.7,11.5,6.4,NA,NA,NA,12.8,21.7,89.76
11236,56.6,264.6,39.1,10.3,NA,NA,NA,5.1,NA,10.3,92.65
11237,35.4,195.8,37.5,NA,0,NA,0,0,0,NA,53.74
11238,14.9,181.1,39.2,NA,0,NA,0,0,NA,NA,47.04
11239,84.5,606.7,92.1,53.8,NA,0,0,NA,46.1,NA,139.51666666666668
11354,40.8,424.7,109.4,29.7,9.3,NA,NA,NA,11.1,22.3,122.78
11355,17.8,191.5,38,NA,6.3,NA,NA,NA,NA,16.5,63.4
11356,NA,162.2,26.3,0,0,0,0,0,0,NA,31.416666666666664
11357,NA,222.1,49.1,20.7,NA,NA,0,0,NA,NA,72.975
11358,19.4,99.9,16.7,NA,NA,0,0,0,NA,NA,27.2
11360,NA,131.3,31.5,NA,NA,NA,0,0,0,NA,54.26666666666667
11361,NA,197.2,45.5,NA,NA,NA,NA,NA,0,NA,121.35
11362,NA,165.7,27.6,27.6,NA,NA,0,0,0,NA,55.224999999999994
11363,0,89.1,NA,NA,0,NA,NA,NA,0,0,29.7
11364,NA,106.5,NA,NA,NA,0,0,0,0,NA,35.5
11365,27.4,136.9,27.4,NA,0,0,0,NA,0,13.7,31.95
11366,42.2,168.9,NA,0,0,NA,NA,NA,0,NA,52.775000000000006
11367,19.7,137.7,29.5,NA,0,0,0,0,NA,NA,31.15
11368,68.9,315.3,51.6,6.3,NA,0,NA,NA,NA,12.7,88.42
11369,83.3,469.9,80.3,14.9,NA,NA,0,0,NA,NA,129.68
11370,28.3,204.5,NA,18.9,0,0,0,0,NA,NA,41.95
11372,82.4,313.1,70.9,9.9,NA,8.2,NA,NA,8.2,19.8,96.9
11373,44.7,267.3,42.6,9.8,NA,NA,0,NA,NA,9.8,72.88000000000001
11374,24.2,164.3,36.2,16.9,NA,0,NA,NA,NA,24.2,48.32
11375,25.3,206.3,37.9,NA,NA,0,NA,0,7,18.2,67.375
11377,45.2,199.9,32.1,13.1,NA,0,NA,0,NA,14.3,58.06
11378,24.9,174.3,22.1,NA,NA,0,0,0,NA,NA,44.260000000000005
11379,30,234.7,40.9,21.8,NA,NA,NA,NA,13.6,NA,81.85
11385,24.1,109.1,23.2,5.8,NA,NA,0,NA,NA,4.8,32.44
11411,28.1,201.1,28.1,NA,0,NA,NA,NA,0,NA,64.325
11412,28.9,186.4,28.9,NA,0,0,0,NA,NA,NA,40.7
11413,39.3,185.2,37,NA,0,0,0,NA,0,NA,43.58333333333333
11414,49.4,186.9,31.7,NA,NA,0,0,0,0,21.2,53.6
11415,26.5,249,53,31.8,NA,NA,0,0,0,NA,72.06
11416,26.5,174.3,22.7,NA,NA,0,NA,NA,NA,18.9,55.875
11417,22.6,125.6,16.1,NA,0,NA,0,NA,NA,NA,32.86
11418,34.6,191.6,39.9,NA,0,NA,0,0,0,16,53.22
11419,28.9,173.2,39.2,NA,NA,0,NA,0,NA,12.4,60.324999999999996
11420,29.3,169.3,39.7,NA,0,0,0,NA,0,12.5,39.71666666666667
11421,32.5,219.7,30,0,NA,0,NA,0,0,15,56.44
11422,40.1,166.7,34,0,0,0,0,0,NA,NA,34.4
11423,48.2,350.1,51.4,16.1,NA,NA,NA,0,NA,19.3,116.45
11426,NA,128.9,34.7,NA,NA,0,0,0,0,NA,40.900000000000006
11427,29.7,135.7,29.7,NA,NA,0,0,0,NA,NA,39.019999999999996
11428,26.9,258.3,43.1,NA,NA,0,0,NA,0,NA,65.66
11429,21.6,201.4,61.1,NA,NA,0,0,NA,0,18,56.82
11432,54.3,312.7,67.5,19.8,NA,0,NA,NA,NA,21.4,90.86
11433,30.1,230,30.1,NA,0,0,NA,NA,0,16.4,58.04
11434,44.9,236.7,56.9,9,7.5,NA,0,NA,NA,15,59.166666666666664
11435,30.8,215.7,58.2,NA,NA,0,0,0,12,NA,60.94
11436,29.9,189.6,NA,NA,NA,0,0,NA,NA,NA,54.875
11691,65.8,471.2,74.8,29.9,9,NA,NA,NA,NA,10.5,130.14
11692,52.3,399.4,85.6,33.3,NA,0,NA,NA,0,NA,114.11999999999999
11693,55.2,260.4,0,0,NA,NA,0,NA,0,NA,63.12
11694,24.1,375.4,81.8,NA,NA,NA,NA,NA,0,NA,160.43333333333334
11697,NA,NA,NA,0,0,NA,NA,NA,0,0,0
