"","modzcta","all_years_avg_testers","all_years_avg_offers","all_years_wt_avg","2015-19_avg_testers","2015-19_avg_offers","2015-19_wt_avg","avg_testers_2020","avg_offers_2020","wt_avg_2020"
"1",10001,5,5,5,7.5,7.5,5,5,5,5
"2",10002,36.9285714285714,28.3571428571429,43.2459677419355,39.9285714285714,31.8571428571429,41.7459677419355,38.7142857142857,18.5714285714286,42.3874538745387
"3",10003,42.75,32.25,44.1739130434783,39.75,28.75,42.1739130434783,46,26,47.1195652173913
"4",10004,62.5,36,10,57.5,31,9,59,7,7
"5",10009,19.5,11.3333333333333,6.11904761904762,25,17.3333333333333,5.61904761904762,18,6,6.83333333333333
"6",10010,80.5,50.5,40.5120481927711,83.5,53.5,42.5120481927711,78,18.3333333333333,38.5042735042735
"7",10011,97.5,75,99.2112676056338,97.5,75,95.2112676056338,88,61,112.545454545455
"8",10021,255,152.5,75.5,274.5,172,75.5,227,73,73
"9",10023,11.3333333333333,10,7,15.8333333333333,14.5,10,15.3333333333333,7.33333333333333,9.41304347826087
"10",10024,53.8333333333333,40,28.656976744186,55.8333333333333,42,26.656976744186,49.6666666666667,24.3333333333333,25.4429530201342
"11",10025,51.25,37.375,84.2464114832536,48.25,34.375,79.2464114832536,49.5,20.375,72.3661616161616
"12",10026,5,5,5,5,5,5,5,5,5
"13",10027,22,12.25,7.16,23,13.75,7.66,18.6666666666667,6.11111111111111,6.19047619047619
"14",10029,17.3,11.2,11.1502732240437,18.8,13.2,12.6502732240437,16,7.1,11.95625
"15",10030,7.16666666666667,6.5,5,6.16666666666667,5,5,8,5,5
"16",10031,12,11,5,9,8,5,17.5,5,5
"17",10032,11,6,5,12,7.5,5,7.75,5,5
"18",10033,6.75,6.5,5,6.75,6,5,8,5,5
"19",10034,13.5,9.5,5,13,9,5,14.2,5,5
"20",10035,12.75,8.5,5,10.75,6.5,5,12.5,5,5
"21",10036,5,5,5,9.5,9.5,5,5,5,5
"22",10038,44,32,20.5185185185185,44.5,32.5,23.5185185185185,47.5,12,13.1052631578947
"23",10039,8,5,5,8,5,5,5,5,5
"24",10040,18.1666666666667,10.6666666666667,6.28813559322034,20.1666666666667,13.1666666666667,6.28813559322034,16.3333333333333,5.33333333333333,5.6530612244898
"25",10044,7,7,5,7,7,5,9,5,5
"26",10065,7,5,5,7,5,5,5,5,5
"27",10075,21,21,5,17,17,5,37,5,5
"28",10128,106,89,68,105.5,88.5,63,115,73,73
"29",10280,46,32.5,15.5,46,32.5,14.5,52,18,18
"30",10282,49,28,8.5,53,32,8.5,45,6,6
"31",10301,36,17.5,5.28571428571429,36.5,18,5.28571428571429,30,5,5
"32",10302,57,28,5,58,29,5,51,5,5
"33",10304,29.1666666666667,16,8,31.6666666666667,18.5,7.5,25,6.66666666666667,8.13333333333333
"34",10306,84.5,52,10,88.5,56,11,93,9,9
"35",10307,80.5,36.5,8.5,87,43,9.5,61,5,5
"36",10308,151,76,21,160.5,85.5,21,123,13,13
"37",10310,85.5,49,18,90,53.5,16,76,14,14
"38",10312,139,85.5,33.726618705036,129,75.5,25.226618705036,139,34,35.1079136690648
"39",10314,71.5,40.1666666666667,13.2522522522523,75,43.6666666666667,12.7522522522523,68.6666666666667,8.66666666666667,12.1553398058252
"40",10451,9.6,5.5,5,11.1,7.5,5,6.8,5,5
"41",10452,28,11,5,33.5,16.5,5,17.3333333333333,5,5
"42",10453,18.4,10,5,23.9,16,5,15.4,5,5
"43",10454,13,7,5,12.5,7,5,9.5,5,5
"44",10455,10.6666666666667,7,5,13.1666666666667,10,5,9.25,5,5
"45",10456,19.8333333333333,10.5833333333333,5.28467153284672,22.8333333333333,13.5833333333333,5.28467153284672,16.7857142857143,5,5
"46",10457,24.5714285714286,14.3571428571429,10.3938547486034,27.5714285714286,17.8571428571429,14.3938547486034,22.6923076923077,5.07692307692308,5.49491525423729
"47",10458,29,15.5,5,31,17,5,26,5,5
"48",10459,7.83333333333333,7,5,7.33333333333333,6.5,5,9.66666666666667,5,5
"49",10460,17.625,11,5,17.625,11,5,17.25,5,5
"50",10461,66,32,5,65.5,31.5,5,59,5,5
"51",10462,67.75,37,8.7129963898917,80.75,50.5,9.2129963898917,66.25,7.25,7.52452830188679
"52",10463,47.4,25.3,10.1666666666667,50.4,29.3,8.16666666666667,43.6,8,10.9174311926606
"53",10464,13.5,9,5,10.5,6,5,13,5,5
"54",10465,43.1666666666667,28.5,12.7758620689655,45.1666666666667,30,14.7758620689655,48.3333333333333,9,12.1172413793103
"55",10466,21.5,11,5,24.5,14,5,17,5,5
"56",10467,27.8888888888889,15,5,29.8888888888889,17.5,5,25.1111111111111,5,5
"57",10468,20,13,5,20,13,5,21,5,5
"58",10469,39,21,5,46.5,29,5,37.3333333333333,5,5
"59",10470,34,18.5,5,33,17.5,5,32,5,5
"60",10472,26.75,16.5,5,33.25,23,5,28.75,5,5
"61",10473,19.1,10.5,5,19.6,11.5,5,16.8,5,5
"62",10474,11,8.5,5,7.5,5,5,12,5,5
"63",10475,95.6666666666667,48.5,7.67704918032787,112.666666666667,65.5,8.67704918032787,89.3333333333333,5.33333333333333,5.40298507462687
"64",11004,165.5,93,26,162,89.5,27.5,155,21,21
"65",11101,34.5,23.8333333333333,5.67901234567901,29,17.8333333333333,8.17901234567901,42.6666666666667,5.33333333333333,5.78125
"66",11102,12.5,10.5,5,10,8,5,16,5,5
"67",11103,73,31,5,66,24,5,57,5,5
"68",11105,132,88.5,38,148,105,37.5,127,39,32.8818897637795
"69",11106,42.75,31.75,25.4444444444444,42.75,31.75,23.9444444444444,42.75,17,19.9824561403509
"70",11109,17.5,13.5,5,17,13,5,22,5,5
"71",11201,26.5,20.5,8.47142857142857,29,23,6.97142857142857,36,8.66666666666667,11.6203703703704
"72",11203,24.6666666666667,12.5,5,30.1666666666667,18.5,5,20,5,5
"73",11204,61.0555555555556,34.3333333333333,14.8231046931408,66.5555555555556,40.3333333333333,15.3231046931408,59.6666666666667,10.8888888888889,13.975791433892
"74",11205,22.4,12,5,24.4,15,5,19.8,5,5
"75",11206,44.5,24.3,25.5510204081633,47.5,27.3,21.0510204081633,39.6,9.8,24.1515151515152
"76",11207,14.875,7.5,5,22.875,16,5,10.5555555555556,5,5
"77",11208,14.75,9,5,16.25,11,5,13.125,5,5
"78",11209,60,30,8.72058823529412,62.5,32.5,8.22058823529412,52,8,7.80769230769231
"79",11210,50,19.5,5.78030303030303,48,17.5,5.78030303030303,33.5,5,5
"80",11211,32,21,5,33,22,5,37.6666666666667,5,5
"81",11212,17.3,8.7,5.50704225352113,21.3,12.7,5.50704225352113,12.8,5,5
"82",11213,26.5,15,5,43.5,32.5,5,25.3333333333333,5,5
"83",11214,50.5,28.5,17.1261682242991,57,35,18.6261682242991,47.5,8.25,14.9210526315789
"84",11215,121.5,75.25,50.858024691358,122.5,76.25,58.858024691358,122,28.25,43.4426229508197
"85",11216,14,9.5,5,14.5,10,5,14,5,5
"86",11217,62.5,46.5,42.4761904761905,62.5,46.5,42.9761904761905,61.5,18.5,28.9268292682927
"87",11218,55,27.5,6.41803278688525,60,32.5,6.91803278688525,49,5.66666666666667,5.78231292517007
"88",11219,328,305.5,258.5,317,294.5,255,315,221,221
"89",11220,178,92.5,24.5,180,94.5,25.5,153,17,17
"90",11221,13.9285714285714,8,5,16.4285714285714,11,5,11.5714285714286,5,5
"91",11222,24,11,5,32,19,5,17,5,5
"92",11223,66.5,42.3333333333333,20.1045197740113,69.5,45.8333333333333,19.6045197740113,74,9.66666666666667,16.7927927927928
"93",11224,134,94.3333333333333,153.623620309051,135.5,95.8333333333333,154.623620309051,116.333333333333,53.6666666666667,129.664756446991
"94",11225,31.1666666666667,18.5,5,30.6666666666667,18,5,32,5,5
"95",11226,21.25,9.5,5,25.75,14,5,14.75,5,5
"96",11228,224.333333333333,159.166666666667,90.7920065252855,227.333333333333,162.666666666667,92.7920065252855,244.333333333333,66,84.5593451568895
"97",11229,136.5,77.8333333333333,52.5064935064935,151,92.3333333333333,52.5064935064935,118.333333333333,20,27.0985915492958
"98",11230,14,10.5,5,12.5,9,5,16,5,5
"99",11231,21,18.5,9.5,16,13.5,5,32,11,14.1875
"100",11232,43,23.5,5,39.5,19.5,5,42,5,5
"101",11233,9.25,7,5,9.25,7,5,9.14285714285714,5,5
"102",11234,38.5,20.5,5.62941176470588,37.5,19.5,5.62941176470588,34.5,5,5
"103",11235,107.5,70.5,89.1778846153846,107,70.5,82.1778846153846,111,31.25,93.445945945946
"104",11236,42.8,19.2,7.20454545454545,48.3,24.7,6.20454545454545,32.2,6.2,7.8695652173913
"105",11237,73.3333333333333,37.6666666666667,9.44468085106383,93.3333333333333,58.1666666666667,8.94468085106383,67.6666666666667,6.33333333333333,6.21674876847291
"106",11238,15,6,5,19.5,10.5,5,7,5,5
"107",11239,31.5,14.5,5,30,13,5,24.5,5,5
"108",11354,261.5,173.5,89.5,253.5,165.5,91.5,248,80,80
"109",11355,112.333333333333,75.8333333333333,44.3111782477341,119.333333333333,82.8333333333333,40.8111782477341,114.333333333333,27.6666666666667,40.533527696793
"110",11357,166,119.5,59.5,159,112.5,48.5,194,74,74
"111",11358,72,50.5,32.259842519685,78,56.5,31.759842519685,81,21,32.6543209876543
"112",11360,49.5,35,12,47,32.5,14,56,10,10
"113",11361,216.5,152,84.5,217.5,153,87.5,200,65,65
"114",11362,211.5,151.5,90.5,208.5,148.5,82.5,219,97,97
"115",11364,209.5,161.5,92,212.5,164.5,99,221,82,82
"116",11365,147,91,76.640625,154,98,80.140625,133.5,34.5,62.2322097378277
"117",11366,22.5,13,5.61702127659574,20,10.5,5.61702127659574,21,5,5
"118",11367,29.3333333333333,18,9.30412371134021,35.3333333333333,24.5,9.30412371134021,26.3333333333333,6.33333333333333,6.62025316455696
"119",11368,54,27,6.97540983606557,65,38,6.97540983606557,47,5,5
"120",11369,110,64,21.5619047619048,116.5,70.5,19.5619047619048,115.5,16.5,25.3116883116883
"121",11372,152,84.5,15.9169381107492,167.5,100.5,18.4169381107492,150,13,12.64
"122",11373,131.5,76.5,35.0553633217993,150,95,39.0553633217993,118.5,18.5,22.337552742616
"123",11374,195,133.5,61,221.5,160,64,205,60,60
"124",11375,85,55,39.75,84,54,43.75,84,24.5,38.1964285714286
"125",11377,216,103,26,228.5,115.5,27,174,20,20
"126",11378,261,150.5,44,317,206.5,52.5,257,44,44
"127",11379,32,21.3333333333333,6.80952380952381,30,19.3333333333333,6.80952380952381,36.3333333333333,6.66666666666667,7.38532110091743
"128",11385,64,35,23.5882352941176,66.5,38,23.0882352941176,51,12.25,16.5147058823529
"129",11411,7,6,5,7.5,6.5,5,7,5,5
"130",11412,14.5,8,5,24.5,18.5,5,11.5,5,5
"131",11413,21.6,10.5,5,25.1,14,5,16.4,5,5
"132",11414,13.8333333333333,8.5,5,15.3333333333333,10.5,5,12.6666666666667,5,5
"133",11416,155.5,73,13.5,149,66.5,11,132,13,13
"134",11417,136.5,74,13.1013986013986,145.5,83.5,13.6013986013986,129.5,6.5,6.1003861003861
"135",11420,47.1666666666667,24.6666666666667,5.99328859060403,48.1666666666667,26.1666666666667,5.99328859060403,44,5,5
"136",11422,23.5,12,5,26,14,5,19,5,5
"137",11423,64,26.5,6.275,78,41,6.775,47.5,5,5
"138",11426,36.5,19.5,6.15,35.5,18.5,6.15,33,5,5
"139",11428,60.5,29,7.11347517730496,59,27.5,7.61347517730496,50.5,5,5
"140",11432,36,24.75,16.4926470588235,39,27.75,15.4926470588235,38.5,11,13.9220779220779
"141",11433,16,10.7,5.36,17,12.2,5.36,17,5,5
"142",11434,28.1666666666667,13,5,25.6666666666667,10.5,5,21,5,5
"143",11435,178,89.5,16,179,90.5,20,157,10,10
"144",11691,21.6666666666667,12.5,5,18.1666666666667,9,5,20.5,5,5
"145",11692,9,6.5,5,7.5,5,5,8,5,5
"146",11693,9,9,5,5,5,5,13.5,5,5
"147",11694,33.75,22.75,29.3636363636364,34.25,23.25,28.8636363636364,31.25,11.5,21.64
